country,population,region,"estimated prevalence of modern slavery per 1,000 population",estimated number of people in modern slavery,governance issues,lack of basic needs,inequality,disenfranchised groups,effects of conflict,total vulnerability score (%),survivors of slavery are identified and supported to exit and remain out of modern slavery (%),criminal justice mechanisms function effectively to prevent modern slavery (%),"coordination occurs at the national and regional level and across borders, and governments are held to account for their response (%)","risk factors, such as attitudes, social systems, and institutions that enable modern slavery are addressed (%)",government and business stop sourcing goods and services produced by forced labour (%),government response total (%),year,corruption,year_democracy,democracy score,year_migration,migration
Malta,442000,Europe and Central Asia,,,,,,,,,64.0,58.0,38.0,29.0,25.0,49.0,2023.0,51.0,2023.0,7.93,2023.0,850.0
Mauritania,4650000,Africa,32.0,149000.0,78.0,46.0,38.0,87.0,15.0,66.0,27.0,54.0,38.0,29.0,0.0,35.0,2023.0,30.0,2023.0,4.14,2023.0,3000.0
Mauritius,1272000,Africa,1.5,2000.0,21.0,25.0,39.0,47.0,8.0,20.0,32.0,50.0,25.0,43.0,0.0,36.0,2023.0,51.0,2023.0,8.14,2023.0,0.0
Mexico,128933000,Americas,6.6,850000.0,49.0,35.0,69.0,49.0,75.0,58.0,50.0,65.0,88.0,57.0,0.0,55.0,2023.0,31.0,2023.0,5.14,2023.0,-50239.0
Moldova,4034000,Europe and Central Asia,9.5,38000.0,31.0,42.0,33.0,68.0,18.0,36.0,45.0,50.0,63.0,57.0,13.0,47.0,2023.0,42.0,2023.0,6.23,2023.0,-125204.0
Mongolia,3278000,Asia and the Pacific,4.0,13000.0,50.0,50.0,44.0,67.0,14.0,50.0,36.0,54.0,25.0,43.0,13.0,40.0,2023.0,33.0,2023.0,6.48,2023.0,-850.0
Montenegro,628000,Europe and Central Asia,,,,,,,,,68.0,73.0,63.0,57.0,0.0,60.0,2023.0,46.0,2023.0,6.67,2023.0,-480.0
Morocco,36911000,Africa,2.3,85000.0,51.0,34.0,40.0,61.0,20.0,44.0,23.0,54.0,50.0,57.0,0.0,40.0,2023.0,38.0,2023.0,5.04,2023.0,-39998.0
Mozambique,31255000,Africa,3.0,93000.0,58.0,63.0,57.0,58.0,54.0,67.0,50.0,54.0,50.0,43.0,0.0,45.0,2023.0,25.0,2023.0,3.51,2023.0,-5000.0
Myanmar,54410000,Asia and the Pacific,12.1,657000.0,65.0,50.0,34.0,75.0,69.0,67.0,50.0,42.0,75.0,36.0,0.0,42.0,2023.0,20.0,,,2023.0,-34998.0
Namibia,2541000,Africa,2.4,6000.0,38.0,61.0,55.0,57.0,10.0,47.0,55.0,46.0,25.0,57.0,0.0,44.0,2023.0,49.0,2023.0,6.52,2023.0,-3916.0
Nepal,29137000,Asia and the Pacific,3.3,97000.0,47.0,55.0,39.0,38.0,33.0,46.0,36.0,58.0,63.0,50.0,0.0,45.0,2023.0,35.0,2023.0,4.6,2023.0,-62012.0
Netherlands,17135000,Europe and Central Asia,0.6,10000.0,11.0,19.0,23.0,18.0,24.0,6.0,77.0,62.0,88.0,64.0,38.0,67.0,2023.0,79.0,2023.0,9.0,2023.0,29998.0
New Zealand,4822000,Asia and the Pacific,1.6,8000.0,14.0,23.0,11.0,31.0,17.0,8.0,45.0,65.0,50.0,64.0,25.0,54.0,2023.0,85.0,2023.0,9.61,2023.0,12999.0
Nicaragua,6625000,Americas,7.3,49000.0,52.0,44.0,58.0,63.0,29.0,54.0,27.0,50.0,38.0,43.0,0.0,36.0,2023.0,17.0,2023.0,2.26,2023.0,-8000.0
Niger,24207000,Africa,4.6,112000.0,68.0,59.0,63.0,64.0,66.0,76.0,23.0,54.0,50.0,43.0,0.0,37.0,2023.0,32.0,2023.0,2.37,2023.0,1000.0
Nigeria,206140000,Africa,7.8,1611000.0,57.0,55.0,58.0,78.0,93.0,76.0,68.0,58.0,50.0,57.0,0.0,54.0,2023.0,25.0,2023.0,4.23,2023.0,-59996.0
North Korea,25779000,Asia and the Pacific,104.6,2696000.0,93.0,64.0,23.0,52.0,5.0,67.0,-9.0,8.0,13.0,-21.0,0.0,-3.0,2023.0,17.0,,,,
North Macedonia,2083000,Europe and Central Asia,12.6,26000.0,35.0,34.0,36.0,80.0,15.0,38.0,68.0,65.0,75.0,50.0,0.0,58.0,2023.0,42.0,2023.0,6.03,2023.0,-1000.0
Norway,5421000,Europe and Central Asia,0.5,3000.0,4.0,26.0,14.0,14.0,21.0,1.0,55.0,73.0,75.0,64.0,38.0,63.0,2023.0,84.0,2023.0,9.81,2023.0,27998.0
Oman,5107000,Arab States,6.5,33000.0,58.0,33.0,21.0,64.0,4.0,40.0,41.0,38.0,50.0,50.0,0.0,38.0,2023.0,43.0,2023.0,3.12,2023.0,0.0
Pakistan,220892000,Asia and the Pacific,10.6,2349000.0,78.0,54.0,46.0,70.0,83.0,80.0,36.0,42.0,50.0,43.0,0.0,37.0,2023.0,29.0,2023.0,3.25,2023.0,-165988.0
Palau, -   ,Asia and the Pacific,,,,,,,,,27.0,31.0,25.0,36.0,0.0,27.0,,,,,2023.0,-20.0
Panama,4315000,Americas,4.7,20000.0,36.0,31.0,50.0,51.0,8.0,33.0,41.0,65.0,50.0,71.0,0.0,51.0,2023.0,35.0,2023.0,6.91,2023.0,7262.0
Papua New Guinea,8947000,Asia and the Pacific,10.3,93000.0,69.0,68.0,100.0,60.0,21.0,79.0,23.0,42.0,50.0,29.0,0.0,31.0,2023.0,29.0,2023.0,6.03,2023.0,-800.0
Paraguay,7133000,Americas,6.4,46000.0,46.0,38.0,59.0,63.0,19.0,47.0,41.0,69.0,63.0,43.0,0.0,49.0,2023.0,28.0,2023.0,6.0,2023.0,-12499.0
Peru,32972000,Americas,7.1,234000.0,42.0,41.0,53.0,63.0,30.0,47.0,59.0,65.0,63.0,57.0,0.0,55.0,2023.0,33.0,2023.0,5.81,2023.0,-61442.0
Philippines,109581000,Asia and the Pacific,7.8,859000.0,55.0,53.0,58.0,60.0,70.0,66.0,59.0,73.0,75.0,50.0,13.0,59.0,2023.0,34.0,2023.0,6.66,2023.0,-69996.0
Poland,37847000,Europe and Central Asia,5.5,209000.0,19.0,22.0,33.0,52.0,15.0,19.0,50.0,65.0,75.0,50.0,25.0,55.0,2023.0,54.0,2023.0,7.18,2023.0,-910475.0
Portugal,10197000,Europe and Central Asia,3.8,39000.0,6.0,21.0,24.0,41.0,8.0,6.0,73.0,73.0,75.0,64.0,25.0,67.0,2023.0,61.0,2023.0,7.75,2023.0,9999.0
